n, time_strassen, time_blas
 392, 0.034428, 0.029003 
 394, 0.0288, 0.028396 
 396, 0.031517, 0.029816 
 398, 0.030159, 0.029769 
 400, 0.048165, 0.029574 
 402, 0.030477, 0.029956 
 404, 0.033196, 0.030934 
 406, 0.031407, 0.031469 
 408, 0.038403, 0.032035 
 410, 0.032049, 0.032269 
 412, 0.035676, 0.032463 
 414, 0.033273, 0.032722 
 416, 0.07881, 0.03354 
 418, 0.034139, 0.034176 
 420, 0.037532, 0.034403 
 422, 0.035633, 0.034668 
 424, 0.042056, 0.035259 
 426, 0.036235, 0.03608 
 428, 0.039445, 0.036462 
 430, 0.037262, 0.037026 
 432, 0.057945, 0.038531 
 434, 0.037568, 0.037552 
 436, 0.041245, 0.03843 
 438, 0.038653, 0.038646 
 440, 0.045878, 0.039792 
 442, 0.039822, 0.039779 
 444, 0.044018, 0.04044 
 446, 0.041391, 0.04097 
 448, 0.147129, 0.041552 
 450, 0.041759, 0.04212 
 452, 0.045643, 0.043456 
 454, 0.043203, 0.043521 
 456, 0.050723, 0.043838 
 458, 0.044371, 0.044341 
 460, 0.047907, 0.04513 
 462, 0.0454, 0.045905 
 464, 0.067584, 0.047418 
 466, 0.046372, 0.047031 
 468, 0.050211, 0.047252 
 470, 0.047241, 0.048488 
 472, 0.054913, 0.049156 
 474, 0.048696, 0.049057 
 476, 0.052857, 0.050207 
 478, 0.04974, 0.05259 
 480, 0.106215, 0.051503 
 482, 0.050874, 0.052599 
 484, 0.054355, 0.052651 
 486, 0.052378, 0.053652 
 488, 0.059604, 0.055068 
 490, 0.054182, 0.055745 
 492, 0.056525, 0.055479 
 494, 0.05488, 0.055805 
 496, 0.07889, 0.05747 
 498, 0.056423, 0.057985 
 500, 0.059462, 0.059433 
 502, 0.057376, 0.058948 
 504, 0.064367, 0.059698 
 506, 0.059392, 0.060821 
 508, 0.062076, 0.061827 
 510, 0.059732, 0.061756 
 512, 1.95252, 0.061585 
 514, 0.061366, 0.062826 
 516, 0.064782, 0.064281 
 518, 0.062866, 0.064251 
 520, 0.070217, 0.065139 
 522, 0.063795, 0.066219 
 524, 0.067424, 0.06687 
 526, 0.065558, 0.067242 
 528, 0.092314, 0.068634 
 530, 0.066788, 0.069294 
 532, 0.069554, 0.070209 
 534, 0.068453, 0.070937 
 536, 0.075562, 0.072583 
 538, 0.069729, 0.072915 
 540, 0.073133, 0.072769 
 542, 0.071803, 0.07397 
 544, 0.140447, 0.074699 
 546, 0.07318, 0.075699 
 548, 0.07589, 0.076459 
 550, 0.074418, 0.077597 
 554, 0.078928, 0.079473 
 556, 0.078579, 0.085901 
 558, 0.080843, 0.085097 
