n, time_strassen, time_blas
 1, 4e-06, 7.7e-05 
 2, 5e-06, 7.2e-05 
 4, 4e-06, 6e-05 
 8, 2e-06, 6e-05 
 16, 3e-06, 5.5e-05 
 32, 1.4e-05, 5.4e-05 
 64, 6.7e-05, 0.000348 
 128, 0.000321, 0.018123 
 256, 0.003171, 0.009604 
 512, 0.008583, 0.018046 
 1024, 0.684897, 0.085231 
 2048, 3.31249, 0.438638 
 4096, 26.095, 2.60942 
 8192, 198.013, 19.4545 
 16384, 1363.24, 173.149 
