n, time_strassen
 2048, 27.597 
 1024, 23.8246 
 512, 21.2872 
 256, 19.7194 
 128, 19.4015 
 64, 18.9943 
 32, 24.53 
 16, 28.344 
 8, 40.4728 
 4, 65.7319 
 2, 131.175 
