n, time_strassen, time_blas
 1, 1e-06, 1.2e-05 
 2, 2e-06, 1.4e-05 
 4, 1e-06, 1.2e-05 
 8, 3e-06, 2.1e-05 
 16, 1.4e-05, 3.1e-05 
 32, 0.000115, 0.000129 
 64, 0.000122, 0.000126 
 128, 0.001064, 0.001048 
 256, 0.007808, 0.008357 
 512, 0.053015, 0.061472 
 1024, 0.395205, 0.472079 
 2048, 2.71367, 3.92713 
 4096, 19.0849, 31.2899 
 8192, 137.889, 253.105 
 16384, 935.705, 1995.78 
